Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,27,C,25,8,34,42,12,10,6,2,0,1,19,15,0,75,10.7,138,575:48:00,23:02,145,194,42.8,16,43,25,16,Smythe-1,mcdavco01
2,Evan Bouchard,24,D,25,6,26,32,14,22,5,1,0,3,13,13,0,74,8.1,207,625:27:00,25:01:00,0,0,,45,28,18,22,,bouchev01
3,Leon Draisaitl,28,C,25,10,21,31,0,14,4,6,0,2,12,9,0,73,13.7,140,534:49:00,21:24,240,243,49.7,16,23,23,27,,draisle01
4,Ryan Nugent-Hopkins,30,C,25,7,15,22,-2,8,2,5,0,2,10,5,0,37,18.9,84,507:57:00,20:19,42,58,42,15,43,11,9,,nugenry01
5,Zach Hyman,31,LW,25,16,6,22,12,12,10,6,0,3,6,0,0,90,17.8,150,535:18:00,21:25,1,0,100,11,53,6,7,,hymanza01
6,Mattias Ekholm,33,D,25,5,5,10,9,6,4,1,0,0,5,0,0,45,11.1,102,549:03:00,21:58,0,0,,47,28,11,21,,ekholma01
7,Warren Foegele,27,LW,22,3,5,8,-7,25,3,0,0,0,5,0,0,36,8.3,65,264:36:00,12:02,0,2,0,8,36,16,12,,foegewa01
8,Mattias Janmark,31,C,25,4,4,8,6,12,2,0,2,1,4,0,0,22,18.2,41,298:27:00,11:56,0,4,0,6,23,6,6,,janmama02
9,Evander Kane,32,LW,20,4,4,8,-7,37,4,0,0,0,3,1,0,44,9.1,94,299:05:00,14:57,6,10,37.5,6,64,3,6,,kaneev01
10,Brett Kulak,30,D,25,1,7,8,-3,14,1,0,0,0,7,0,0,21,4.8,55,412:27:00,16:30,0,0,,45,23,6,15,,kulakbr01
11,Adam Henrique,33,C,17,4,3,7,3,2,4,0,0,2,3,0,0,14,28.6,23,239:49:00,14:06,72,76,48.6,14,52,7,6,,henriad01
12,Dylan Holloway,22,C,25,5,2,7,4,8,5,0,0,0,2,0,0,29,17.2,51,287:42:00,11:30,3,7,30,21,86,5,15,,hollody01
13,Darnell Nurse,28,D,25,2,4,6,-9,12,2,0,0,0,3,1,0,43,4.7,89,470:57:00,18:50,0,0,,62,49,3,12,,nurseda01
14,Connor Brown,30,RW,19,2,4,6,4,6,1,0,1,0,2,0,2,14,14.3,32,226:27:00,11:55,4,4,50,10,9,8,3,,brownco02
15,Cody Ceci,30,D,24,2,3,5,-5,0,2,0,0,0,3,0,0,24,8.3,55,464:46:00,19:22,0,0,,30,36,7,12,,cecico01
16,Ryan McLeod,24,C,24,4,0,4,-7,16,4,0,0,0,0,0,0,26,15.4,53,316:52:00,13:12,77,71,52,8,27,16,9,,mcleory01
17,Corey Perry,38,RW,19,1,2,3,-3,12,0,1,0,1,2,0,0,15,6.7,30,204:26:00,10:46,0,0,,2,18,8,7,,perryco01
18,Philip Broberg,22,D,10,2,1,3,8,0,2,0,0,0,1,0,0,6,33.3,23,157:56:00,15:48,0,0,,18,2,1,7,,brobeph01
19,Vincent Desharnais,27,D,16,0,1,1,-9,22,0,0,0,0,1,0,0,7,0,24,275:52:00,17:15,0,0,,41,40,5,11,,deshavi01
20,Sam Carrick,31,C,10,0,1,1,-1,12,0,0,0,0,1,0,0,4,0,10,92:25:00,9:15,56,49,53.3,3,31,0,4,,carrisa01
21,Derek Ryan,37,C,19,0,1,1,-9,8,0,0,0,0,1,0,0,11,0,22,162:32:00,8:33,60,68,46.9,8,35,10,6,,ryande01
22,Stuart Skinner,25,G,23,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,1373:20:00,59:43:00,0,0,,0,0,1,20,,skinnst01
23,Calvin Pickard,31,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,135:55:00,45:18:00,0,0,,0,0,0,3,,pickaca01
,Team Totals,,,25,86,150,236,10,268,61,22,3,15,104,44,2,710,12.1,1488,9011:56:00,18:56,706,786,47.3,432,749,196,256,,-9999
