Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Nikita Kucherov ('20),26,RW,25,7,27,34,15,22,7,0,0,1,15,12,0,92,7.6,199,541:51:00,21:40,0,2,0,7,39,9,30,,kucheni01
2,Brayden Point ('20),23,C,23,14,19,33,12,10,10,4,0,3,16,3,0,68,20.6,110,472:26:00,20:32,213,156,57.7,13,21,15,9,,pointbr01
3,Victor Hedman,29,D,25,10,12,22,13,24,7,3,0,3,5,7,0,82,12.2,185,661:34:00,26:28:00,0,0,,45,36,12,38,Smythe-1,hedmavi01
4,Ondřej Palát ('20),28,LW,25,11,7,18,14,10,8,3,0,3,5,2,0,80,13.8,135,522:45:00,20:55,7,16,30.4,22,76,15,16,,palaton01
5,Yanni Gourde ('20),28,C,25,7,7,14,12,19,5,2,0,2,7,0,0,54,13,90,457:45:00,18:19,127,166,43.3,8,49,16,10,,gourdya01
6,Kevin Shattenkirk,31,D,25,3,10,13,8,6,2,1,0,2,9,1,0,43,7,110,487:32:00,19:30,0,0,,39,54,9,23,,shattke01
7,Blake Coleman ('20),28,C,25,5,8,13,6,31,5,0,0,0,8,0,0,65,7.7,113,447:08:00,17:53,2,2,50,12,126,13,12,,colembl01
8,Mikhail Sergachev,21,D,25,3,7,10,4,26,2,1,0,0,4,3,0,52,5.8,120,565:17:00,22:37,0,0,,41,63,14,33,,sergami01
9,Alex Killorn,30,C,24,5,5,10,-6,27,3,2,0,0,3,2,0,37,13.5,77,473:29:00,19:44,4,3,57.1,13,52,9,10,,killoal01
10,Anthony Cirelli,22,C,25,3,6,9,-5,2,3,0,0,1,5,1,0,38,7.9,72,503:29:00,20:08,126,149,45.8,32,99,22,9,,cirelan01
11,Tyler Johnson,29,C,25,4,3,7,-6,11,3,1,0,1,1,2,0,48,8.3,88,393:21:00,15:44,83,104,44.4,12,54,5,11,,johnsty01
12,Barclay Goodrow ('20),26,RW,25,1,5,6,5,16,1,0,0,0,5,0,0,32,3.1,57,456:15:00,18:15,93,112,45.4,31,103,13,9,,goodrba01
13,Pat Maroon,31,LW,25,1,5,6,2,32,1,0,0,0,4,1,0,23,4.3,46,314:49:00,12:36,1,3,25,5,56,11,10,,maroopa01
14,Ryan McDonagh,30,D,22,1,4,5,-1,10,1,0,0,1,4,0,0,37,2.7,82,533:42:00,24:16:00,0,0,,46,60,8,19,,mcdonry01
15,Erik Černák,22,D,25,0,4,4,2,12,0,0,0,0,4,0,0,32,0,75,517:49:00,20:43,0,0,,52,59,3,18,,cernaer01
16,Zach Bogosian,29,D,20,0,4,4,1,12,0,0,0,0,4,0,0,42,0,86,353:16:00,17:40,0,0,,19,44,1,14,,bogosza01
17,Cédric Paquette,26,C,25,0,3,3,-3,16,0,0,0,0,3,0,0,22,0,51,288:58:00,11:34,85,74,53.5,24,112,3,7,,paquece01
18,Luke Schenn,30,D,11,0,2,2,3,7,0,0,0,0,2,0,0,9,0,27,119:31:00,10:52,0,0,,18,34,1,7,,schenlu01
19,Carter Verhaeghe,24,C,8,0,2,2,-1,2,0,0,0,0,2,0,0,5,0,13,84:42:00,10:35,0,1,0,3,8,3,0,,verhaca01
20,Jan Rutta,29,D,5,0,1,1,0,12,0,0,0,0,1,0,0,4,0,12,88:55:00,17:47,0,0,,9,6,0,8,,ruttaja02
21,Steven Stamkos,29,C,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100,1,2:47,2:47,0,1,0,0,0,0,1,,stamkst01
22,Mitchell Stephens,22,C,7,1,0,1,-2,2,1,0,0,0,0,0,0,12,8.3,20,85:47:00,12:15,31,33,48.4,3,16,1,0,,stephmi01
23,Andrei Vasilevskiy,25,G,25,0,1,1,0,2,0,0,0,0,1,0,0,0,,1,1708:12:00,68:20:00,0,0,,0,1,0,26,,vasilan02
24,Braydon Coburn,34,D,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,44:35:00,14:52,0,0,,3,7,0,4,,coburbr01
25,Alexander Volkov,22,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9:34,9:34,0,0,,0,1,0,0,,volkoal01
,Team Totals,,,25,77,142,219,75,319,60,17,0,17,108,34,0,879,8.8,1773,10135:29,21:20,772,822,48.4,457,1176,183,324,,-9999
